sku_id,store_id,route,arrival_w1,arrival_w2,arrival_w3,arrival_w4,arrival_w5,arrival_w6,arrival_w7,arrival_w8,arrival_w9,arrival_w10,arrival_w11,arrival_w12,arrival_w13,arrival_w14,arrival_w15,arrival_w16
DGT-001,S121,flow,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,432.000000,432.000000,432.000000,432.000000
DGT-001,S122,flow,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,360.000000,360.000000,360.000000
DGT-001,S123,flow,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,312.000000
DGT-001,S124,flow,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000
DGT-001,S125,flow,360.000000,360.000000,360.000000,360.000000,360.000000,360.000000,360.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000,408.000000,408.000000
DGT-001,S126,flow,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,360.000000,360.000000,360.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000
DGT-001,S127,flow,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000
DGT-001,S128,flow,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
DGT-001,S129,flow,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000
DGT-001,S130,flow,240.000000,240.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,240.000000,240.000000,240.000000,240.000000,240.000000,216.000000
DGT-001,S131,flow,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000,408.000000
DGT-001,S132,flow,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000
DGT-001,S133,flow,168.000000,168.000000,168.000000,144.000000,144.000000,144.000000,144.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000,168.000000
DGT-001,S134,flow,360.000000,360.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000,432.000000,432.000000,432.000000,456.000000,456.000000
DGT-001,S135,flow,408.000000,408.000000,408.000000,432.000000,432.000000,432.000000,432.000000,432.000000,432.000000,432.000000,456.000000,456.000000,480.000000,480.000000,504.000000,504.000000
DGT-001,S136,flow,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,432.000000,432.000000,432.000000,432.000000
DGT-001,S137,flow,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,384.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000,408.000000
DGT-001,S138,flow,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000,288.000000
DGT-001,S139,flow,216.000000,216.000000,240.000000,240.000000,240.000000,240.000000,240.000000,240.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,288.000000
DGT-001,S140,flow,312.000000,312.000000,336.000000,336.000000,336.000000,336.000000,336.000000,360.000000,360.000000,360.000000,360.000000,384.000000,384.000000,384.000000,384.000000,384.000000
DGT-002,S121,flow,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000,336.000000
DGT-002,S122,flow,276.000000,276.000000,276.000000,264.000000,264.000000,264.000000,252.000000,252.000000,252.000000,252.000000,252.000000,252.000000,252.000000,264.000000,264.000000,252.000000
DGT-002,S123,flow,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000
DGT-002,S124,flow,228.000000,216.000000,216.000000,216.000000,216.000000,216.000000,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000,204.000000
DGT-002,S125,flow,288.000000,288.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,264.000000,264.000000
DGT-002,S126,flow,276.000000,276.000000,276.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000
DGT-002,S127,flow,324.000000,312.000000,312.000000,312.000000,312.000000,312.000000,312.000000,312.000000,312.000000,324.000000,324.000000,324.000000,324.000000,312.000000,312.000000,312.000000
DGT-002,S128,flow,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000,132.000000
DGT-002,S129,flow,240.000000,240.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,228.000000,216.000000
DGT-002,S130,flow,192.000000,192.000000,180.000000,180.000000,180.000000,180.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000,192.000000
DGT-002,S131,flow,300.000000,300.000000,300.000000,288.000000,288.000000,288.000000,288.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,288.000000,288.000000
DGT-002,S132,flow,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000,216.000000
DGT-002,S133,flow,132.000000,132.000000,132.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,132.000000,132.000000,132.000000,120.000000,120.000000
DGT-002,S134,flow,300.000000,300.000000,288.000000,288.000000,288.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,276.000000,264.000000,264.000000
DGT-002,S135,flow,336.000000,336.000000,336.000000,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,324.000000,336.000000,336.000000,348.000000,348.000000,348.000000,348.000000
DGT-002,S136,flow,336.000000,336.000000,336.000000,336.000000,348.000000,348.000000,360.000000,360.000000,372.000000,372.000000,372.000000,372.000000,372.000000,384.000000,384.000000,384.000000
DGT-002,S137,flow,312.000000,312.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,288.000000,288.000000,288.000000,288.000000,276.000000,276.000000,264.000000
DGT-002,S138,flow,228.000000,228.000000,228.000000,228.000000,240.000000,240.000000,240.000000,240.000000,252.000000,252.000000,252.000000,252.000000,252.000000,252.000000,252.000000,252.000000
DGT-002,S139,flow,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000,180.000000
DGT-002,S140,flow,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,264.000000,276.000000,276.000000,276.000000,276.000000,288.000000
DGT-003,S121,flow,252.000000,252.000000,246.000000,246.000000,246.000000,240.000000,240.000000,234.000000,234.000000,234.000000,234.000000,234.000000,240.000000,240.000000,240.000000,234.000000
DGT-003,S122,flow,210.000000,210.000000,210.000000,210.000000,210.000000,210.000000,210.000000,216.000000,216.000000,222.000000,222.000000,222.000000,222.000000,222.000000,216.000000,216.000000
DGT-003,S123,flow,162.000000,162.000000,162.000000,156.000000,156.000000,156.000000,156.000000,156.000000,156.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000,162.000000
DGT-003,S124,flow,174.000000,174.000000,168.000000,168.000000,174.000000,174.000000,174.000000,180.000000,180.000000,180.000000,186.000000,186.000000,186.000000,186.000000,180.000000,186.000000
DGT-003,S125,flow,222.000000,222.000000,222.000000,222.000000,216.000000,216.000000,216.000000,216.000000,216.000000,222.000000,222.000000,222.000000,222.000000,228.000000,228.000000,228.000000
DGT-003,S126,flow,210.000000,210.000000,216.000000,216.000000,216.000000,222.000000,222.000000,228.000000,234.000000,234.000000,240.000000,246.000000,252.000000,252.000000,258.000000,258.000000
DGT-003,S127,flow,246.000000,252.000000,252.000000,252.000000,252.000000,258.000000,258.000000,258.000000,264.000000,264.000000,270.000000,276.000000,276.000000,282.000000,288.000000,288.000000
DGT-003,S128,flow,96.000000,102.000000,102.000000,102.000000,102.000000,102.000000,102.000000,108.000000,108.000000,108.000000,108.000000,114.000000,114.000000,114.000000,114.000000,114.000000
